Document,Pan_2023,Zhang_Jun-2024,Jiang_2024,Wan_Jun2024,Hóu_2025,Li_Jul-2025,Keber_2024,Khan_2025,Colelough_2025,Petruzzellis_2025,Simon Alford_2021,Hitzler_2022,ZHANG_2024,He_2025,Wang_2022,Wan_May2024,Wan_Sep2024,Wan_Mar2025,Wan_2025,Riegel_2022,Feldstein_2024,Garzes_2020,Liu_2025,Banayeeanzade_2025,Ibrahim_2024,Oltramari_2023,Bai_2025,Raedt_2020,Archarga_2023,Aspis_2022,Chen_2025,Delvecchio_2024,Sharifi_2025,Tsamaura_2020,Yang_2025,Wang_2024,Gibaut_2023,Edwards_2024,Karpas_2022,Liu_2024,Mamuni_2025,Peng_2021,Shivadekar_2025,Spivak_2024,Gonzales_2025,Huang_2025,Hamilton_2022,Gaur_2022,Romero_2023,Thomas_2022,Shin_2024,Wang_2025,Pawar_2024,Castillo-Lopez_2025,Qian_2024,Wang_Mar-2024,Kim_2024,Li_2025,Chow_2023,Ahmed_2024,Kanani_2025,Ahmad_2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evaluation parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Correctness and Soundness,,,,x,x,x,,,,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,x,,,x,x,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,
Accuracy and Success Rate,,,,x,x,x,x,,,x,x,,x,x,x,x,,x,,x,x,,,,,,x,,,x,,,x,x,x,,x,,x,,,,,x,x,x,,,,x,x,,x,x,x,x,x,x,,x,x,x
Efficiency and Scalability,,,,x,x,,x,x,x,x,x,,x,x,x,x,x,x,x,x,,x,x,x,x,,,x,x,x,x,x,,x,x,x,,x,x,x,x,x,x,x,x,,x,,,x,x,x,,x,x,,,,x,,x,x
Interpretability and Explanation Quality,,,,x,x,,x,x,x,x,x,,x,x,x,,x,x,,x,,x,x,x,x,x,,,x,x,x,x,x,,,,x,x,x,,x,,,x,x,,,x,,,,,,,,,,,,,,
Generality and Coverage,,,,,x,,,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
Systematic Generalization (OOD - Out-of-Distribution),,x,,x,x,,,x,,x,x,,,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comparative Baselines,,,,,obtain from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neural-only methods,,,,x,x,,,,,x,,,x,,x,x,,x,,x,x,x,,,,x,,,,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,,,,x,x,x,x,x,x,x,x,x,x,x,x
Symbolic-only methods,,,,,x,,,,,,,,x,,x,,,x,,x,,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heuristic explainers,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
